speaker,item,start,label,duration,tp,f0
PL01,kumaty,379.7411396,V1,0.0328,379.7575175,165.2282
PL01,nieborak,382.609977,V1,0.03,382.624966,156.7928
PL01,papaja,385.4257099,V1,0.0485,385.4499735,160.2256
PL01,nowotw€r,388.089977,V1,0.05,388.114966,157.2091
PL01,mimoza,390.609932,V1,0.06,390.6399545,161.2064
PL01,babo,393.2379545,V1,0.1189,393.2974002,178.9557
PL01,zywotnie,395.56,V1,0.04,395.58,154.7576
PL01,niebo,398.0729175,V1,0.034,398.089902,206.9016
PL01,bywalec,400.3166325,V1,0.0631,400.3481751,156.6072
PL01,zimami,402.619955,V1,0.05,402.644966,158.0779
PL01,mimo,405.129977,V1,0.0826,405.1712958,194.2354
PL01,rzepa,407.7791145,V1,0.057,407.8076242,197.049
PL01,kuma,409.5367277,V1,0.0388,409.5561385,202.648
PL01,babochlop,411.359955,V1,0.0489,411.3843949,167.5617
PL01,rzepaku,413.3965691,V1,0.0461,413.4196195,165.9389
PL01,zywo,415.3329746,V1,0.047,415.3564873,182.9738
PL01,nowo,417.2369997,V1,0.0497,417.2618698,175.0541
PL01,sumo,419.1325326,V1,0.0315,419.1483039,184.4288
PL01,popa,420.9215369,V1,0.0419,420.9424642,189.7564
PL01,papa,422.7090982,V1,0.0594,422.738821,191.4891
PL01,zima,424.5360853,V1,0.0439,424.5580426,179.6065
PL01,popada,426.2694278,V1,0.0376,426.2882321,164.0478
PL01,cumowac,428.1883522,V1,0.0316,428.2041536,167.5579
PL01,bywa,430.2070755,V1,0.0522,430.2331588,175.1727
PL01,kumaty,432.3103612,V1,0.0291,432.3249193,166.1258
PL01,nieborak,434.22,V1,0.03,434.2349885,159.6664
PL01,papaja,436.089977,V1,0.0513,436.1156433,167.6921
PL01,nowotw€r,437.889977,V1,0.06,437.919977,160.469
PL01,mimoza,439.789932,V1,0.046,439.8129338,161.6725
PL01,babo,441.7009231,V1,0.0891,441.74545,167.7652
PL01,zywotnie,443.349977,V1,0.03,443.364966,162.4289
PL01,niebo,445.309977,V1,0.04,445.329977,179.6209
PL01,bywalec,447.0193654,V1,0.0534,447.0460553,168.7304
PL01,zimami,449.26,V1,0.04,449.28,162.5351
PL01,mimo,451.169977,V1,0.05,451.194966,171.3099
PL01,rzepa,453.1475892,V1,0.0461,453.1706396,177.4566
PL01,kuma,454.887362,V1,0.0297,454.9022234,181.6862
PL01,babochlop,456.6135233,V1,0.0667,456.6468856,159.1823
PL01,rzepaku,458.7061083,V1,0.0449,458.7285521,157.4064
PL01,zywo,460.66,V1,0.05,460.6849885,167.9303
PL01,nowo,462.4113588,V1,0.0437,462.433196,168.3897
PL01,sumo,464.1822638,V1,0.0376,464.2010681,174.511
PL01,popa,465.8600457,V1,0.0412,465.8806697,175.4242
PL01,papa,467.4977926,V1,0.0534,467.5244825,176.0165
PL01,zima,469.179214,V1,0.0206,469.189526,170.9334
PL01,popada,470.9589028,V1,0.0315,470.9746741,168.2736
PL01,cumowac,472.878107,V1,0.04,472.8981245,167.2734
PL01,bywa,475.6824286,V1,0.0534,475.7091185,164.9334
PL01,kumaty,477.5868234,V1,0.0291,477.6013816,178.98
PL01,nieborak,479.52,V1,0.0234,479.5316925,165.1693
PL01,papaja,481.3667481,V1,0.0376,481.3855524,168.6046
PL01,nowotw€r,483.1685254,V1,0.0218,483.179444,161.0217
PL01,mimoza,485.06,V1,0.03,485.0749885,162.7074
PL01,babo,486.7713261,V1,0.0686,486.8056405,155.3059
PL01,zywotnie,488.3848095,V1,0.0328,488.4011874,158.4278
PL01,niebo,490.179955,V1,0.03,490.194966,169.396
PL01,bywalec,491.8653305,V1,0.0534,491.8920204,167.7012
PL01,zimami,493.64,V1,0.04,493.66,166.6461
PL01,mimo,495.5254019,V1,0.051,495.5508786,170.1236
PL02,nieborak,5.919955,V1,0.05,5.944966,198.1228
PL02,babochlop,8.914556913,V1,0.0664,8.94773301,199.091
PL02,popada,12.20023127,V1,0.0497,12.22510142,202.7046
PL02,popa,15.42491751,V1,0.1043,15.47708416,258.0968
PL02,bywa,18.29619636,V1,0.1338,18.36308668,226.2646
PL02,nowo,21.189977,V1,0.1453,21.2626262,201.6824
PL02,cumowac,24.03982847,V1,0.0497,24.06469862,205.3931
PL02,zywo,27.31253046,V1,0.1174,27.37125373,214.9863
PL02,sumo,30.31833329,V1,0.1116,30.37415514,239.7561
PL02,papaja,33.21522767,V1,0.0631,33.24677029,203.6044
PL02,zywotnie,36.329977,V1,0.04,36.349977,202.4936
PL02,kuma,39.32388757,V1,0.0837,39.36574221,257.7907
PL02,kumaty,42.189977,V1,0.06,42.219977,204.5581
PL02,papa,45.06233794,V1,0.1074,45.11602106,233.0026
PL02,zimami,47.889977,V1,0.042,47.9109564,197.7895
PL02,mimo,50.85402936,V1,0.0958,50.90194989,225.724
PL02,rzepaku,53.79796011,V1,0.0607,53.82828956,196.2458
PL02,niebo,56.91915363,V1,0.0655,56.95190944,233.8694
PL02,zima,59.76131622,V1,0.057,59.7898259,224.2402
PL02,mimoza,62.69554155,V1,0.0497,62.7204117,196.5922
PL02,nowotw€r,65.82,V1,0.06,65.85,186.5624
PL02,bywalec,68.95356112,V1,0.0664,68.98675806,204.7061
PL02,rzepa,72.17288328,V1,0.1201,72.23293559,217.1746
PL02,babo,75.06417957,V1,0.1486,75.13848672,206.9549
PL02,nieborak,80.969977,V1,0.0364,80.98818701,192.5348
PL02,babochlop,84.099955,V1,0.0602,84.1300353,177.3964
PL02,popada,87.26889978,V1,0.0485,87.29316334,206.7186
PL02,popa,90.3235073,V1,0.1031,90.37506736,246.7419
PL02,bywa,93.489977,V1,0.12,93.549977,208.2159
PL02,nowo,96.44,V1,0.1294,96.50469755,234.0009
PL02,cumowac,99.41155768,V1,0.0752,99.44916619,204.0558
PL02,zywo,102.6963914,V1,0.108,102.7503779,226.0931
PL02,sumo,106.0247608,V1,0.1052,106.0773689,249.9909
PL02,papaja,109.2475837,V1,0.0558,109.2754868,196.1584
PL02,zywotnie,112.5681575,V1,0.0618,112.5990673,209.1849
PL02,kuma,115.8475807,V1,0.0924,115.8937904,256.1289
PL02,kumaty,118.6665541,V1,0.0485,118.6908177,202.1504
PL02,papa,121.7451477,V1,0.1153,121.8027736,235.0414
PL02,zimami,124.7741396,V1,0.0534,124.8008296,183.1938
PL02,mimo,127.9159572,V1,0.1116,127.9717634,238.0663
PL02,rzepaku,130.629977,V1,0.0579,130.6589356,194.0024
PL02,niebo,133.7458637,V1,0.0752,133.7834722,262.6918
PL02,zima,136.9190851,V1,0.0692,136.9536607,257.2369
PL02,mimoza,139.8181283,V1,0.0437,139.8399655,197.7618
PL02,nowotw€r,143.009977,V1,0.0893,143.0546498,191.9615
PL02,bywalec,146.199955,V1,0.07,146.234966,196.4059
PL02,rzepa,149.169977,V1,0.1,149.2199851,239.8134
PL02,babo,152.0745473,V1,0.1322,152.1406655,233.3973
PL02,nieborak,155.099955,V1,0.05,155.124966,203.3171
PL02,babochlop,157.4,V1,0.0414,157.4207181,193.6955
PL02,popada,159.649977,V1,0.037,159.6684849,200.3291
PL02,popa,161.9264835,V1,0.0582,161.9555998,269.9331
PL02,bywa,164.099955,V1,0.0978,164.1488747,228.9009
PL02,nowo,166.2989828,V1,0.091,166.3444799,252.9465
